"eventdate","mealname","fcst_custcount","served_custcount"
"8/30/2025 0:00","Brunch",325,388
"8/31/2025 0:00","Brunch",425,424
"9/1/2025 0:00","Brunch",300,357
"9/1/2025 0:00","Dinner",400,431
"9/2/2025 0:00","Breakfast",315,343
"9/2/2025 0:00","Lunch",880,773
"9/2/2025 0:00","Dinner",615,512
"9/3/2025 0:00","Breakfast",290,369
"9/3/2025 0:00","Lunch",800,797
"9/3/2025 0:00","Dinner",480,615
"9/4/2025 0:00","Breakfast",280,335
"9/4/2025 0:00","Lunch",790,747
"9/4/2025 0:00","Dinner",470,530
"9/5/2025 0:00","Breakfast",260,325
"9/5/2025 0:00","Lunch",730,626
"9/5/2025 0:00","Dinner",325,434
"9/6/2025 0:00","Brunch",325,475
"9/7/2025 0:00","Brunch",425,453
"9/8/2025 0:00","Breakfast",365,361
"9/8/2025 0:00","Lunch",800,870
"9/8/2025 0:00","Dinner",500,588
"9/9/2025 0:00","Breakfast",345,311
"9/9/2025 0:00","Lunch",760,779
"9/9/2025 0:00","Dinner",620,608
"9/10/2025 0:00","Breakfast",360,367
"9/10/2025 0:00","Lunch",800,819
"9/10/2025 0:00","Dinner",530,596
"9/11/2025 0:00","Breakfast",325,281
"9/11/2025 0:00","Lunch",690,854
"9/11/2025 0:00","Dinner",480,594
"9/12/2025 0:00","Breakfast",315,311
"9/12/2025 0:00","Lunch",630,739
"9/12/2025 0:00","Dinner",400,414
"9/13/2025 0:00","Brunch",400,260
"9/14/2025 0:00","Brunch",425,448
"9/15/2025 0:00","Breakfast",305,373
"9/15/2025 0:00","Lunch",850,817
"9/15/2025 0:00","Dinner",500,560
"9/16/2025 0:00","Breakfast",305,283
"9/16/2025 0:00","Lunch",820,811
"9/16/2025 0:00","Dinner",580,585
"9/17/2025 0:00","Breakfast",295,373
"9/17/2025 0:00","Lunch",780,817
"9/17/2025 0:00","Dinner",485,560
"9/18/2025 0:00","Breakfast",305,283
"9/18/2025 0:00","Lunch",815,811
"9/18/2025 0:00","Dinner",550,585
"9/19/2025 0:00","Breakfast",260,310
"9/19/2025 0:00","Lunch",720,734
"9/19/2025 0:00","Dinner",325,430
"9/20/2025 0:00","Brunch",325,407
"9/21/2025 0:00","Brunch",435,422
"9/22/2025 0:00","Breakfast",350,345
"9/22/2025 0:00","Lunch",900,921
"9/22/2025 0:00","Dinner",625,598
"9/23/2025 0:00","Breakfast",290,285
"9/23/2025 0:00","Lunch",825,856
"9/23/2025 0:00","Dinner",580,624
"9/24/2025 0:00","Breakfast",350,352
"9/24/2025 0:00","Lunch",800,790
"9/24/2025 0:00","Dinner",535,655
"9/25/2025 0:00","Breakfast",300,290
"9/25/2025 0:00","Lunch",840,796
"9/25/2025 0:00","Dinner",540,476
"9/26/2025 0:00","Breakfast",300,311
"9/26/2025 0:00","Lunch",720,765
"9/26/2025 0:00","Dinner",325,441
"9/27/2025 0:00","Brunch",400,364
"9/28/2025 0:00","Brunch",425,481
"9/29/2025 0:00","Breakfast",335,370
"9/29/2025 0:00","Lunch",900,886
"9/29/2025 0:00","Dinner",600,642
"9/30/2025 0:00","Breakfast",290,298
"9/30/2025 0:00","Lunch",870,868
"9/30/2025 0:00","Dinner",600,600
"10/1/2025 0:00","Breakfast",340,372
"10/1/2025 0:00","Lunch",800,939
"10/1/2025 0:00","Dinner",625,631
"10/2/2025 0:00","Breakfast",295,309
"10/2/2025 0:00","Lunch",780,808
"10/2/2025 0:00","Dinner",495,535
"10/3/2025 0:00","Breakfast",300,314
"10/3/2025 0:00","Lunch",720,725
"10/3/2025 0:00","Dinner",415,502
"10/4/2025 0:00","Brunch",370,304
"10/5/2025 0:00","Brunch",445,478
"10/6/2025 0:00","Breakfast",365,380
"10/6/2025 0:00","Lunch",800,1041
"10/6/2025 0:00","Dinner",600,638
